S1;S2;S3;S4;S5;Timestamp
323;196;72;3;67;2017-06-24T15:35:00+03:00
313;171;124;124;29;2017-06-25T15:00:00+03:00
269;28;180;67;5;2017-08-05T10:05:00+03:00
269;125;44;185;146;2017-08-05T10:50:00+03:00
268;99;179;25;141;2017-08-05T23:30:00+03:00
254;174;34;150;150;2017-08-06T05:35:00+03:00
245;45;189;0;76;2017-08-06T07:45:00+03:00
261;159;34;6;152;2017-08-06T19:45:00+03:00
262;100;157;18;200;2017-08-06T22:15:00+03:00
262;17;59;98;131;2017-08-06T22:30:00+03:00
236;50;138;79;75;2017-08-08T06:20:00+03:00
236;175;18;84;121;2017-08-08T17:15:00+03:00
239;62;153;96;149;2017-08-08T19:00:00+03:00
293;69;58;0;75;2017-07-18T15:05:00+03:00
298;91;6;177;80;2017-07-19T14:50:00+03:00
301;41;48;110;124;2017-07-19T22:00:00+03:00
243;188;170;3;116;2017-07-21T11:50:00+03:00
262;147;18;63;186;2017-07-22T03:50:00+03:00
261;177;124;189;38;2017-07-23T21:50:00+03:00
233;44;50;35;48;2017-07-24T10:30:00+03:00
229;101;92;87;143;2017-07-25T22:20:00+03:00
226;128;116;11;141;2017-07-26T02:35:00+03:00
227;42;61;27;87;2017-07-26T12:25:00+03:00
2;184;194;84;8;2017-07-26T14:35:00+03:00
255;132;99;123;54;2017-07-27T22:45:00+03:00
270;194;41;62;44;2017-07-30T07:25:00+03:00
265;21;157;175;7;2017-07-31T12:00:00+03:00
272;108;88;89;124;2017-07-31T15:50:00+03:00
303;189;91;179;141;2017-08-02T19:20:00+03:00
30;180;116;170;53;2017-08-03T00:00:00+03:00
290;163;45;172;2;2017-08-04T05:25:00+03:00
227;174;187;110;168;2017-04-25T18:25:00+03:00
176;135;177;187;103;2017-04-26T16:10:00+03:00
173;160;126;131;153;2017-04-26T21:10:00+03:00
204;199;93;86;169;2017-04-28T17:50:00+03:00
188;66;190;189;130;2017-04-29T03:50:00+03:00
180;1;30;176;61;2017-04-29T10:10:00+03:00
208;198;18;154;200;2017-05-01T10:10:00+03:00
21;51;90;53;172;2017-05-01T10:55:00+03:00
222;149;25;30;44;2017-05-01T12:35:00+03:00
226;54;59;156;42;2017-05-01T22:35:00+03:00
283;7;39;0;139;2017-04-09T19:00:00+03:00
235;132;3;24;23;2017-04-10T11:40:00+03:00
261;84;43;82;182;2017-04-10T15:35:00+03:00
180;14;36;137;35;2017-04-19T01:45:00+03:00
203;44;164;191;12;2017-04-19T12:05:00+03:00
199;46;44;4;165;2017-04-19T19:20:00+03:00
216;185;92;85;47;2017-04-15T15:30:00+03:00
215;101;93;123;87;2017-04-15T16:25:00+03:00
232;30;79;31;166;2017-04-22T13:25:00+03:00
249;14;138;191;78;2017-04-23T16:40:00+03:00
208;35;15;97;42;2017-04-24T06:35:00+03:00
201;162;123;7;105;2017-04-08T07:40:00+03:00
200;74;163;147;67;2017-04-08T08:20:00+03:00
225;81;132;29;121;2017-04-13T16:00:00+03:00
2;186;132;198;143;2017-04-13T17:40:00+03:00
236;56;34;42;59;2017-04-13T20:40:00+03:00
263;73;130;94;141;2016-12-06T06:00:00+03:00
268;63;149;45;126;2016-12-16T11:00:00+03:00
299;177;106;58;151;2016-12-18T04:15:00+03:00
239;113;120;116;70;2016-09-19T02:00:00+03:00
241;78;111;66;82;2016-10-12T16:00:00+03:00
236;34;37;156;95;2016-10-20T16:00:00+03:00
208;199;186;172;66;2016-10-23T11:00:00+03:00
233;104;93;96;168;2016-11-09T16:00:00+03:00
212;33;185;176;38;2016-12-28T15:50:00+03:00
191;145;13;24;163;2016-12-29T07:40:00+03:00
187;149;14;200;188;2016-12-29T10:50:00+03:00
165;74;0;3;40;2016-12-30T13:00:00+03:00
228;182;65;139;71;2016-12-23T01:20:00+03:00
262;37;144;72;165;2016-12-24T08:40:00+03:00
217;160;59;77;198;2016-12-25T14:55:00+03:00
218;87;130;196;105;2016-12-25T16:10:00+03:00
206;97;0;19;109;2016-12-25T22:00:00+03:00
255;142;132;148;114;2016-12-26T16:05:00+03:00
295;95;105;5;18;2016-12-20T21:40:00+03:00
284;200;32;183;42;2016-12-21T00:25:00+03:00
301;96;87;165;174;2016-12-18T21:40:00+03:00
159;27;69;114;154;2017-01-15T15:35:00+03:00
16;74;6;63;60;2017-01-15T20:15:00+03:00
143;182;90;176;44;2017-01-16T10:20:00+03:00
1281372452;73;38;93;115;2017-01-17T02:35:00+03:00
1281372452;143;151;6;142;2017-01-17T05:55:00+03:00
127;25;169;117;4;2017-01-17T08:10:00+03:00
112;198;200;6;175;2017-01-17T23:25:00+03:00
889;13;162;127;47;2017-01-19T10:55:00+03:00
889;131;8;45;12;2017-01-19T11:55:00+03:00
154;28;95;63;20;2017-01-11T14:05:00+03:00
207;94;108;109;117;2017-08-12T00:10:00+03:00
263;10;108;170;121;2017-08-23T09:40:00+03:00
297;187;179;59;74;2017-08-26T16:50:00+03:00
226;7;105;28;56;2017-08-14T09:35:00+03:00
226;181;91;144;63;2017-08-14T10:05:00+03:00
270;69;169;151;186;2017-08-14T18:15:00+03:00
271;100;97;36;51;2017-08-15T11:05:00+03:00
272;61;11;160;89;2017-08-15T13:20:00+03:00
278;47;133;178;126;2017-08-17T23:15:00+03:00
255;137;73;133;142;2017-08-19T02:05:00+03:00
247;65;101;10;160;2017-08-13T15:15:00+03:00
2725081825;111;171;147;41;2017-08-24T02:40:00+03:00
260;130;43;190;196;2017-08-25T10:55:00+03:00
249;125;79;122;186;2017-08-19T19:15:00+03:00
223;170;168;16;56;2017-08-20T01:35:00+03:00
211;63;130;102;150;2017-08-20T13:20:00+03:00
227;104;183;179;110;2017-08-22T05:45:00+03:00
225;55;16;102;167;2017-08-22T07:50:00+03:00
306;16;153;95;200;2017-08-30T05:55:00+03:00
235;77;112;132;68;2017-08-31T13:10:00+03:00
309;197;43;17;92;2017-07-06T18:10:00+03:00
300;117;17;134;43;2017-07-07T08:30:00+03:00
323;49;93;128;161;2017-07-07T18:25:00+03:00
293;62;169;108;161;2017-07-08T04:15:00+03:00
252;177;122;123;68;2017-07-10T20:45:00+03:00
28;155;89;127;152;2017-07-30T01:45:00+03:00
270;161;27;26;142;2017-07-30T08:40:00+03:00
290;76;188;7;78;2017-07-30T19:35:00+03:00
287;58;131;36;28;2017-07-31T00:00:00+03:00
272;1;19;129;183;2017-07-31T15:45:00+03:00
237;44;188;100;47;2017-07-26T22:25:00+03:00
235;95;92;131;153;2017-07-27T09:35:00+03:00
259;16;25;53;145;2017-07-28T20:50:00+03:00
240;197;15;144;182;2017-07-29T09:30:00+03:00
233;44;75;114;190;2017-07-24T12:15:00+03:00
264;90;188;170;89;2017-07-22T13:55:00+03:00
271;72;164;11;59;2016-08-01T15:00:00+03:00
294;193;154;53;189;2016-08-06T00:00:00+03:00
241;114;145;157;96;2016-08-13T07:00:00+03:00
27;41;20;52;152;2016-08-15T08:00:00+03:00
28;3;43;127;116;2016-08-23T01:00:00+03:00
315;18;165;114;41;2016-09-07T22:00:00+03:00
290;68;99;121;9;2016-12-20T04:35:00+03:00
308;161;147;161;117;2016-12-20T16:55:00+03:00
294;137;17;86;82;2016-12-21T11:40:00+03:00
287;158;67;125;46;2016-12-22T02:00:00+03:00
240;89;18;119;196;2016-10-21T09:00:00+03:00
246;190;153;131;91;2016-10-21T20:00:00+03:00
245;199;101;70;88;2016-10-26T20:00:00+03:00
297;63;31;62;180;2016-12-18T04:35:00+03:00
199;161;15;142;128;2017-04-16T12:20:00+03:00
218;16;163;66;4;2017-04-17T14:25:00+03:00
226;182;182;128;61;2017-04-17T18:00:00+03:00
182;29;110;172;52;2017-04-18T08:30:00+03:00
225;106;30;56;67;2017-04-18T15:35:00+03:00
263;50;65;16;194;2017-03-22T09:40:00+03:00
206;42;184;20;152;2017-03-23T20:40:00+03:00
20;144;22;192;73;2017-01-12T16:45:00+03:00
204;188;88;125;127;2017-01-12T19:25:00+03:00
201;114;147;41;179;2017-01-13T12:05:00+03:00
20;119;35;99;97;2017-01-13T13:00:00+03:00
153;4;12;59;63;2017-01-06T23:35:00+03:00
150;4;190;12;191;2017-01-07T00:50:00+03:00
131;75;64;76;13;2017-01-07T12:10:00+03:00
130;80;26;96;23;2017-01-08T11:05:00+03:00
813;70;16;110;121;2017-01-22T02:25:00+03:00
141;5;95;104;148;2016-12-31T12:30:00+03:00
1281372452;141;104;137;131;2017-01-01T10:50:00+03:00
1472756767;29;161;25;2;2017-01-03T15:05:00+03:00
157;63;89;100;181;2017-01-05T01:00:00+03:00
133;137;23;59;36;2017-01-09T01:25:00+03:00
134;199;52;2;83;2017-01-09T03:30:00+03:00
154;48;83;175;55;2017-01-09T18:20:00+03:00
148;51;174;186;4;2017-01-10T03:05:00+03:00
148;69;179;29;60;2017-01-10T04:55:00+03:00
708;102;138;184;148;2017-01-20T11:15:00+03:00
746;68;108;171;3;2017-01-21T06:45:00+03:00
2136941910;31;125;156;49;2017-02-14T18:45:00+03:00
226;174;103;32;184;2017-02-15T04:50:00+03:00
234;183;40;46;102;2017-02-15T09:25:00+03:00
19;163;8;0;95;2017-02-20T22:50:00+03:00
208;153;41;29;2;2017-02-21T21:25:00+03:00
207;185;46;106;51;2017-02-21T22:45:00+03:00
218;199;95;118;149;2017-02-22T07:25:00+03:00
212;11;41;155;38;2017-02-22T11:15:00+03:00
198;185;139;73;154;2017-02-23T14:05:00+03:00
207;199;40;80;175;2017-02-24T19:05:00+03:00
203;27;25;36;157;2017-02-25T01:35:00+03:00
228;121;31;0;107;2017-02-15T14:40:00+03:00
229;70;122;185;42;2017-02-15T16:20:00+03:00
236;77;103;67;181;2017-02-18T09:25:00+03:00
237;91;19;157;183;2017-02-18T13:15:00+03:00
219;125;125;193;115;2017-02-19T11:20:00+03:00
218;114;43;200;109;2017-02-19T12:50:00+03:00
243;124;195;120;91;2017-04-02T19:40:00+03:00
236;171;57;132;54;2017-04-03T13:45:00+03:00
212;133;149;73;108;2017-04-04T09:40:00+03:00
251;121;148;195;3;2017-04-04T21:00:00+03:00
193;95;45;79;191;2017-02-25T10:50:00+03:00
207;144;21;8;48;2017-02-25T17:40:00+03:00
21;174;184;20;146;2017-02-26T04:10:00+03:00
215;119;78;45;148;2017-02-26T21:40:00+03:00
246;76;109;43;117;2017-03-22T02:50:00+03:00
196;59;73;189;102;2017-03-23T05:15:00+03:00
278;136;171;169;132;2017-03-31T18:45:00+03:00
246;95;180;199;136;2017-04-01T16:15:00+03:00
237;177;199;153;55;2017-04-02T03:00:00+03:00
194;3;56;15;147;2017-02-27T20:50:00+03:00
190;35;53;69;85;2017-02-27T22:05:00+03:00
19;104;106;71;6;2017-02-27T23:30:00+03:00
313;81;108;88;192;2017-06-19T06:55:00+03:00
359;4;125;101;74;2017-06-21T14:15:00+03:00
253;141;190;86;79;2017-06-03T10:35:00+03:00
297;175;10;160;13;2017-06-08T20:15:00+03:00
294;199;129;21;48;2017-06-10T03:10:00+03:00
297;47;88;168;47;2017-06-11T09:45:00+03:00
307;37;160;122;61;2017-06-12T10:25:00+03:00
283;15;23;183;154;2017-06-13T04:25:00+03:00
30;143;140;152;74;2017-06-13T16:35:00+03:00
319;43;64;152;2;2017-06-14T20:30:00+03:00
213;6;37;123;146;2017-03-30T11:30:00+03:00
239;63;63;139;159;2017-03-30T14:25:00+03:00
236;136;115;163;55;2017-04-02T01:55:00+03:00
247;149;91;70;42;2017-04-02T20:40:00+03:00
219;190;20;70;107;2017-04-03T04:25:00+03:00
246;16;143;126;110;2017-04-05T07:15:00+03:00
242;122;57;89;119;2017-04-05T21:20:00+03:00
242;126;77;32;186;2017-04-05T23:50:00+03:00
20;82;101;23;105;2017-04-06T13:05:00+03:00
208;191;134;46;89;2017-04-06T15:00:00+03:00
206;183;153;104;59;2017-04-07T04:05:00+03:00
276;143;81;103;167;2017-04-09T16:25:00+03:00
237;180;134;60;172;2017-04-10T07:10:00+03:00
227;43;185;12;124;2017-04-10T09:05:00+03:00
220;96;98;30;158;2017-04-11T05:55:00+03:00
201;151;16;198;96;2017-04-11T08:40:00+03:00
193;67;64;134;195;2017-04-12T03:45:00+03:00
215;138;156;103;186;2017-04-12T13:40:00+03:00
2136941910;150;199;10;156;2017-04-07T13:40:00+03:00
252;192;19;85;95;2017-04-08T15:55:00+03:00
20;198;123;125;36;2017-04-14T05:55:00+03:00
271;176;105;161;19;2017-05-22T13:25:00+03:00
254;143;139;40;125;2017-05-13T03:40:00+03:00
253;132;189;127;161;2017-05-13T05:45:00+03:00
2667198563;163;1;128;73;2017-05-13T22:45:00+03:00
230;47;108;188;136;2017-05-15T10:35:00+03:00
205;71;165;23;114;2017-05-02T09:05:00+03:00
207;57;131;145;151;2017-05-02T09:25:00+03:00
211;147;101;5;20;2017-05-04T03:30:00+03:00
224;45;188;193;32;2017-05-04T13:55:00+03:00
247;34;188;66;2;2017-04-23T16:10:00+03:00
233;140;17;168;58;2017-04-25T07:05:00+03:00
2088768578;195;13;193;143;2017-04-25T20:55:00+03:00
174;137;19;92;52;2017-04-27T06:20:00+03:00
255;141;93;16;94;2017-04-10T21:35:00+03:00
246;135;56;24;147;2017-04-10T23:10:00+03:00
213;123;54;181;98;2017-04-13T13:00:00+03:00
20;87;137;165;21;2017-04-14T10:05:00+03:00
222;131;194;91;139;2017-04-14T14:50:00+03:00
218;109;39;188;42;2017-04-16T00:40:00+03:00
204;38;0;7;195;2017-04-16T07:45:00+03:00
342;10;45;133;50;2017-06-18T23:10:00+03:00
330;89;0;168;170;2017-06-19T02:40:00+03:00
356;102;6;69;66;2017-06-19T18:45:00+03:00
359;178;173;108;77;2017-06-19T22:30:00+03:00
342;90;64;40;149;2017-06-20T11:05:00+03:00
339;24;44;182;19;2017-06-23T06:30:00+03:00
174;87;44;129;190;2017-04-18T10:35:00+03:00
208;148;136;79;120;2017-04-18T19:50:00+03:00
188;116;67;123;195;2017-04-20T09:45:00+03:00
187;195;20;11;105;2017-04-20T10:00:00+03:00
177;92;31;104;119;2017-04-21T09:35:00+03:00
284;134;147;133;31;2017-06-28T07:45:00+03:00
291;69;74;47;188;2017-06-28T21:25:00+03:00
279;47;87;126;72;2017-06-29T00:15:00+03:00
260;13;122;46;104;2017-06-29T11:25:00+03:00
344;55;176;124;112;2017-06-23T21:25:00+03:00
325;138;180;175;34;2017-06-24T05:05:00+03:00
208;174;24;32;194;2017-02-20T01:30:00+03:00
193;186;43;84;189;2017-02-20T22:20:00+03:00
21;95;3;77;35;2017-02-21T04:20:00+03:00
196;49;62;36;13;2017-02-23T09:40:00+03:00
211;8;37;143;98;2017-02-24T12:05:00+03:00
20;174;200;124;200;2017-02-24T23:55:00+03:00
213;164;185;17;146;2017-02-26T22:20:00+03:00
832;67;90;73;137;2017-01-22T01:00:00+03:00
794;34;34;127;168;2017-01-22T04:00:00+03:00
822;108;150;163;53;2017-01-23T17:10:00+03:00
746;74;123;130;117;2017-01-24T07:45:00+03:00
212;154;134;74;26;2017-02-14T16:10:00+03:00
220;44;113;61;39;2017-02-15T02:00:00+03:00
17;166;49;199;150;2017-01-14T20:35:00+03:00
168;65;171;196;89;2017-01-15T03:10:00+03:00
908;113;4;59;151;2017-01-19T10:10:00+03:00
928;145;163;123;7;2017-01-19T16:30:00+03:00
233;99;133;126;122;2017-02-17T00:25:00+03:00
237;173;21;67;57;2017-02-18T07:10:00+03:00
237;59;96;67;9;2017-02-18T08:30:00+03:00
236;7;91;107;90;2017-02-18T20:10:00+03:00
232;11;155;108;4;2017-02-18T21:00:00+03:00
24;160;106;84;116;2017-02-19T02:35:00+03:00
234;8;125;31;19;2017-03-21T22:50:00+03:00
258;128;5;130;63;2017-03-22T06:50:00+03:00
208;150;108;42;120;2017-02-26T07:45:00+03:00
2088768578;193;81;79;168;2017-02-26T13:25:00+03:00
2;189;148;124;113;2017-05-04T15:50:00+03:00
254;0;200;183;15;2017-05-05T19:15:00+03:00
255;15;187;123;54;2017-05-05T19:45:00+03:00
259;93;13;90;96;2017-05-05T23:15:00+03:00
266;81;30;101;31;2017-05-06T05:15:00+03:00
268;88;12;73;164;2017-05-06T07:15:00+03:00
263;43;34;32;144;2017-05-08T02:15:00+03:00
226;150;42;12;86;2017-05-09T03:45:00+03:00
24;12;139;157;181;2017-05-10T01:45:00+03:00
198;48;157;41;128;2017-04-28T14:20:00+03:00
222;74;116;195;169;2017-04-29T16:30:00+03:00
17;102;5;124;171;2017-04-26T18:50:00+03:00
245;149;197;181;129;2017-04-23T15:35:00+03:00
213;156;100;129;27;2017-04-24T05:05:00+03:00
208;181;102;199;70;2017-04-20T13:40:00+03:00
207;182;52;83;75;2017-04-20T23:25:00+03:00
238;77;91;22;85;2017-05-08T15:25:00+03:00
237;98;192;171;25;2017-05-08T16:30:00+03:00
260;136;38;197;198;2017-05-11T16:50:00+03:00
183;197;5;98;193;2017-04-22T08:45:00+03:00
243;46;87;135;80;2017-04-22T15:45:00+03:00
2725081825;141;97;120;111;2017-08-01T22:35:00+03:00
293;148;101;78;16;2017-08-03T12:15:00+03:00
300;195;171;71;196;2017-08-03T15:35:00+03:00
303;2;54;167;46;2017-08-03T23:10:00+03:00
281;147;8;199;67;2017-08-04T09:05:00+03:00
207;174;167;114;196;2017-08-11T23:40:00+03:00
243;135;168;158;128;2017-08-24T10:30:00+03:00
213;14;43;58;62;2017-08-12T12:15:00+03:00
265;147;16;161;154;2017-08-14T17:35:00+03:00
250;120;118;110;3;2017-08-19T19:45:00+03:00
208;59;51;70;166;2017-08-21T03:05:00+03:00
196;188;98;139;135;2017-08-21T09:50:00+03:00
2;143;164;182;10;2017-08-22T11:35:00+03:00
270;104;8;81;197;2017-08-23T05:15:00+03:00
2667198563;57;173;168;155;2017-08-23T07:25:00+03:00
283;25;184;123;137;2017-08-23T16:50:00+03:00
288;200;153;50;33;2017-08-23T20:40:00+03:00
261;169;19;176;25;2017-08-24T15:20:00+03:00
27;69;106;51;9;2017-08-24T23:50:00+03:00
281;109;172;74;195;2017-08-26T02:05:00+03:00
260;121;54;160;6;2017-08-16T13:15:00+03:00
27;172;117;33;60;2017-08-16T20:15:00+03:00
274;66;121;38;31;2017-08-16T21:30:00+03:00
281;143;171;102;34;2017-08-17T18:35:00+03:00
250;108;128;150;22;2017-08-18T08:35:00+03:00
257;17;196;159;181;2017-08-18T19:55:00+03:00
268;115;16;33;109;2017-08-05T10:55:00+03:00
260;82;164;108;52;2017-08-06T03:20:00+03:00
215;84;125;188;19;2017-08-07T09:30:00+03:00
239;49;129;149;110;2017-08-08T18:25:00+03:00
297;33;60;50;29;2017-08-26T17:00:00+03:00
295;147;146;97;169;2017-08-27T04:20:00+03:00
298;187;8;64;33;2017-08-29T04:10:00+03:00
28;109;102;145;5;2017-08-29T07:10:00+03:00
314;184;35;108;173;2017-08-29T21:05:00+03:00
261;44;92;132;121;2017-08-31T06:25:00+03:00
258;149;150;190;14;2017-05-16T02:50:00+03:00
271;144;153;77;107;2017-05-18T12:15:00+03:00
226;78;142;39;200;2017-05-19T03:00:00+03:00
263;49;23;112;13;2017-05-23T10:40:00+03:00
283;179;177;153;197;2017-05-23T15:55:00+03:00
288;189;42;91;62;2017-05-23T21:20:00+03:00
300;36;107;189;53;2017-05-24T23:05:00+03:00
296;87;145;65;131;2017-05-27T11:15:00+03:00
318;26;132;8;31;2017-05-27T19:40:00+03:00
28;81;194;75;161;2017-05-29T10:50:00+03:00
278;134;161;184;169;2017-05-29T11:00:00+03:00
221;51;95;106;39;2017-05-20T05:10:00+03:00
243;0;157;35;156;2017-05-21T01:05:00+03:00
230;112;66;23;161;2017-05-21T03:30:00+03:00
215;107;159;150;43;2017-05-21T07:05:00+03:00
259;23;83;91;139;2017-05-30T07:55:00+03:00
24;97;147;165;9;2017-06-01T10:25:00+03:00
272;66;145;112;129;2017-06-02T17:15:00+03:00
246;144;9;197;63;2017-06-03T23:50:00+03:00
228;61;137;43;142;2017-06-05T11:30:00+03:00
246;17;11;100;174;2017-06-05T20:05:00+03:00
207;189;66;151;156;2016-10-31T20:00:00+03:00
20;101;64;151;153;2016-11-15T02:00:00+03:00
253;148;40;79;27;2016-11-17T08:00:00+03:00
260;191;30;92;93;2016-11-24T13:00:00+03:00
240;172;170;35;157;2016-12-02T13:00:00+03:00
283;52;16;69;192;2016-12-17T11:30:00+03:00
201;140;23;132;21;2016-12-23T22:40:00+03:00
259;81;18;51;50;2016-12-24T22:45:00+03:00
28;126;52;101;8;2016-12-27T00:20:00+03:00
246;191;120;77;198;2016-12-28T02:30:00+03:00
2088768578;64;174;60;98;2016-12-28T17:05:00+03:00
180;33;180;200;116;2016-12-29T21:10:00+03:00
158;189;168;7;64;2016-12-30T10:45:00+03:00
154;18;86;148;119;2017-01-11T14:35:00+03:00
16;89;107;4;63;2017-01-11T16:15:00+03:00
200;69;98;104;28;2017-01-13T15:30:00+03:00
196;69;17;123;127;2017-01-14T05:05:00+03:00
15;154;100;95;140;2017-01-03T23:50:00+03:00
157;42;44;100;47;2017-01-05T08:55:00+03:00
166;27;64;180;171;2017-01-06T01:15:00+03:00
146;63;102;74;126;2017-01-06T17:05:00+03:00
130;69;67;60;90;2017-01-01T09:15:00+03:00
130;57;102;137;156;2017-01-01T23:25:00+03:00
131;99;54;109;76;2017-01-08T06:00:00+03:00
131;94;144;107;102;2017-01-08T07:10:00+03:00
150;189;111;103;37;2017-01-09T12:45:00+03:00
16;147;113;188;15;2017-01-09T16:45:00+03:00
148;93;90;156;177;2017-01-10T08:20:00+03:00
228;107;141;51;111;2017-07-01T13:20:00+03:00
251;5;82;17;173;2017-07-03T23:20:00+03:00
313;64;128;59;124;2017-06-26T01:45:00+03:00
290;34;26;32;33;2017-06-26T12:50:00+03:00
299;76;34;115;136;2017-06-26T14:45:00+03:00
291;138;168;167;37;2017-06-27T08:25:00+03:00
299;195;92;44;92;2017-06-28T00:20:00+03:00
288;6;90;68;106;2017-06-28T05:00:00+03:00
27;41;10;43;190;2017-06-30T10:05:00+03:00
265;119;169;98;24;2017-06-30T12:25:00+03:00
255;59;109;108;199;2017-06-30T15:30:00+03:00
314;134;13;5;139;2017-06-14T01:35:00+03:00
295;65;15;116;61;2017-06-14T10:50:00+03:00
306;8;75;41;156;2017-06-15T01:00:00+03:00
329;8;58;173;67;2017-06-15T14:30:00+03:00
349;189;15;88;157;2017-06-15T21:00:00+03:00
348;147;146;8;102;2017-06-15T22:55:00+03:00
315;60;143;159;197;2017-06-16T21:55:00+03:00
318;128;42;22;69;2017-06-19T05:35:00+03:00
321;58;137;82;23;2017-06-19T11:40:00+03:00
246;116;62;152;97;2017-06-08T11:00:00+03:00
300;31;28;152;155;2017-06-09T15:35:00+03:00
304;129;26;56;195;2017-06-10T12:20:00+03:00
292;62;95;104;200;2017-06-11T08:00:00+03:00
347;48;158;86;129;2017-06-12T00:55:00+03:00
347;181;11;60;177;2017-06-20T11:55:00+03:00
353;36;145;29;0;2017-06-20T13:35:00+03:00
359;44;105;184;182;2017-06-21T01:00:00+03:00
360;129;163;11;200;2017-06-21T14:30:00+03:00
344;167;17;30;79;2017-06-23T03:00:00+03:00
344;165;56;90;191;2017-06-23T17:35:00+03:00
232;132;170;75;139;2017-06-06T22:45:00+03:00
236;151;92;114;35;2017-06-07T16:00:00+03:00
229;79;170;173;38;2017-06-08T06:20:00+03:00
247;88;79;20;81;2017-07-15T13:30:00+03:00
264;37;185;27;175;2017-07-15T22:15:00+03:00
299;124;53;134;192;2017-07-19T16:15:00+03:00
28;71;43;97;123;2017-07-20T05:20:00+03:00
272;89;33;128;92;2017-07-20T08:05:00+03:00
260;121;88;55;42;2017-07-21T14:05:00+03:00
2667198563;133;65;57;178;2017-07-21T16:25:00+03:00
269;36;21;152;31;2017-07-21T18:45:00+03:00
262;185;195;93;37;2017-07-13T01:45:00+03:00
259;26;0;40;126;2017-07-14T15:00:00+03:00
266;163;164;42;54;2017-07-14T18:30:00+03:00
2667198563;78;87;173;147;2017-07-15T00:05:00+03:00
2667198563;106;194;126;83;2017-07-05T03:00:00+03:00
329;3;180;92;60;2017-06-24T20:50:00+03:00
305;85;5;87;26;2017-06-26T02:40:00+03:00
359;125;132;21;90;2017-06-11T21:00:00+03:00
288;78;2;33;38;2017-06-13T03:25:00+03:00
300;67;108;109;45;2017-06-14T11:55:00+03:00
304;153;185;28;33;2017-06-15T10:30:00+03:00
294;53;49;38;187;2017-06-16T12:05:00+03:00
310;83;11;141;188;2017-06-16T07:50:00+03:00
291;122;99;86;40;2017-08-28T13:10:00+03:00
3;95;125;134;20;2017-08-30T02:35:00+03:00
3;48;9;174;155;2017-08-30T02:55:00+03:00
299;8;90;188;113;2017-08-30T14:05:00+03:00
199;88;99;165;167;2017-02-20T06:00:00+03:00
203;197;75;190;54;2017-02-23T06:35:00+03:00
199;122;37;137;164;2017-02-23T08:10:00+03:00
212;10;55;16;36;2017-02-26T02:50:00+03:00
21;175;107;189;124;2017-02-26T14:55:00+03:00
213;87;186;161;162;2017-02-26T22:15:00+03:00
2;140;99;87;151;2017-02-16T14:00:00+03:00
236;87;142;196;42;2017-02-17T03:20:00+03:00
24;163;99;67;8;2017-02-19T01:20:00+03:00
218;169;117;185;99;2017-02-19T18:05:00+03:00
822;143;123;90;173;2017-01-20T22:40:00+03:00
813;3;72;134;193;2017-01-21T00:25:00+03:00
689;125;168;92;38;2017-01-21T11:35:00+03:00
842;112;134;100;180;2017-01-21T23:40:00+03:00
765;43;10;19;200;2017-01-24T05:15:00+03:00
2136941910;173;191;151;27;2017-02-14T19:40:00+03:00
213;2;115;76;125;2017-02-14T21:45:00+03:00
229;166;168;93;69;2017-02-15T06:35:00+03:00
193;69;128;177;128;2017-02-27T13:10:00+03:00
242;183;58;35;171;2017-03-22T01:05:00+03:00
216;164;5;75;37;2017-02-24T08:40:00+03:00
279;46;192;9;171;2017-04-09T22:20:00+03:00
240;1;102;21;160;2017-04-10T06:00:00+03:00
246;111;50;7;7;2017-04-10T13:15:00+03:00
221;34;38;57;186;2017-04-11T18:00:00+03:00
236;186;45;127;72;2017-04-12T20:30:00+03:00
236;157;72;45;73;2017-04-13T21:20:00+03:00
229;103;121;166;179;2017-04-14T00:05:00+03:00
201;185;126;79;84;2017-03-30T09:35:00+03:00
264;78;67;180;176;2017-04-01T01:10:00+03:00
260;170;132;153;84;2017-04-01T04:00:00+03:00
242;157;8;164;4;2017-04-03T19:10:00+03:00
212;50;193;34;117;2017-04-18T11:25:00+03:00
207;93;123;166;71;2017-04-20T23:15:00+03:00
2136941910;199;154;124;169;2017-04-04T09:55:00+03:00
252;144;130;11;56;2017-04-04T18:40:00+03:00
247;22;10;188;78;2017-04-05T04:50:00+03:00
249;65;43;87;16;2017-04-05T06:00:00+03:00
219;58;28;168;109;2017-04-06T07:15:00+03:00
2136941910;89;179;64;172;2017-04-06T07:40:00+03:00
203;196;103;47;5;2017-04-07T04:20:00+03:00
242;115;2;120;74;2017-04-07T21:25:00+03:00
223;160;135;84;30;2017-04-14T15:05:00+03:00
224;65;135;46;171;2017-04-17T20:30:00+03:00
221;42;163;84;36;2017-04-08T02:15:00+03:00
146;106;86;153;150;2016-12-31T07:00:00+03:00
136;150;81;169;37;2017-01-01T00:20:00+03:00
136;110;83;65;158;2017-01-01T00:40:00+03:00
129;43;122;132;56;2017-01-02T12:05:00+03:00
30;107;85;6;192;2016-12-18T22:00:00+03:00
297;19;162;197;14;2016-12-20T11:25:00+03:00
304;30;94;74;135;2016-12-20T18:10:00+03:00
299;140;85;40;162;2016-12-21T09:00:00+03:00
297;16;186;130;92;2016-12-21T10:00:00+03:00
256;124;4;179;143;2016-12-22T13:15:00+03:00
226;126;29;104;57;2016-12-22T23:35:00+03:00
2667198563;34;144;168;73;2016-12-27T12:55:00+03:00
